,tanggal,stasiun,pm10,pm25,so2,co,o3,no2,max,critical
339,2021-12-06,DKI1 (Bunderan HI),60,81,55,23,18,11,81,PM25
340,2021-12-07,DKI1 (Bunderan HI),30,31,34,12,16,9,34,SO2
341,2021-12-08,DKI1 (Bunderan HI),45,60,33,17,18,10,60,PM25
342,2021-12-09,DKI1 (Bunderan HI),33,50,36,10,21,11,50,PM25
343,2021-12-10,DKI1 (Bunderan HI),46,59,43,14,19,12,59,PM25
344,2021-12-11,DKI1 (Bunderan HI),28,43,33,8,24,9,43,PM25
345,2021-12-12,DKI1 (Bunderan HI),44,57,32,17,15,7,57,PM25
346,2021-12-13,DKI1 (Bunderan HI),31,46,34,10,13,6,46,PM25
347,2021-12-14,DKI1 (Bunderan HI),46,61,46,15,16,10,61,PM25
348,2021-12-15,DKI1 (Bunderan HI),58,75,43,19,20,14,75,PM25
349,2021-12-16,DKI1 (Bunderan HI),56,74,39,20,24,16,74,PM25
350,2021-12-17,DKI1 (Bunderan HI),53,71,42,18,24,15,71,PM25
351,2021-12-18,DKI1 (Bunderan HI),51,63,39,18,22,10,63,PM25
352,2021-12-19,DKI1 (Bunderan HI),58,81,38,24,33,15,81,PM25
353,2021-12-20,DKI1 (Bunderan HI),52,63,39,13,23,11,63,PM25
354,2021-12-21,DKI1 (Bunderan HI),52,74,41,19,22,17,74,PM25
355,2021-12-22,DKI1 (Bunderan HI),63,85,56,28,25,19,85,PM25
356,2021-12-23,DKI1 (Bunderan HI),56,77,57,18,20,18,77,PM25
357,2021-12-24,DKI1 (Bunderan HI),34,52,53,15,17,11,53,SO2
358,2021-12-25,DKI1 (Bunderan HI),53,68,56,17,17,9,68,PM25
359,2021-12-26,DKI1 (Bunderan HI),35,53,51,11,22,10,53,PM25
360,2021-12-27,DKI1 (Bunderan HI),52,71,61,15,20,15,71,PM25
361,2021-12-28,DKI1 (Bunderan HI),51,65,53,15,18,13,65,PM25
362,2021-12-29,DKI1 (Bunderan HI),31,49,54,10,24,11,54,SO2
363,2021-12-30,DKI1 (Bunderan HI),55,71,53,16,23,14,71,PM25
364,2021-12-31,DKI1 (Bunderan HI),62,85,52,23,20,14,85,PM25
